WeightClassKg,Dots
30.0,128.762196969697
35.0,162.8978813559322
40.0,197.12085616438355
43.0,279.81810996563576
44.0,284.18420391061454
47.0,303.6077463768116
48.0,291.41070354780516
52.0,304.6571842619012
53.0,277.3097176820208
56.0,309.1896860535319
57.0,314.05792236366494
59.0,311.5597446187523
60.0,316.4742552083333
63.0,310.2764061998931
66.0,328.4406137773425
67.5,319.9714373744139
69.0,317.16007860262005
72.0,302.3525651563753
74.0,339.2875660438144
75.0,329.35058557588803
76.0,308.8125
82.5,330.27897389492153
83.0,340.6704516203172
84.0,285.1161264847512
90.0,328.86662083816464
93.0,341.8367649306693
100.0,322.61393381037567
105.0,336.7291681632067
110.0,327.9508624551971
120.0,319.62104273870784
125.0,317.5216173776499
140.0,332.86558717020176
144.5,234.08
